,Content_Based,Collaborative_Filtering_UserBased,Collaborative_Filtering_ItemBased,Collaborative_Filtering_SVD(Surprise),"Collaborative_Filtering_Manual
(appended_user_property_for_similarity)",Trending_Only,Hybrid : SVD + Content + Trending10)
rmse_value,2.84483790449516,3.3010791439131313,3.401388053277771,1.1612153557469707,3.296806159161997,0.9437089240745513,1.4089055506181278
mae_value,2.570597404899324,3.0492757121449303,3.152493710920191,0.7534872910692296,3.044701565721431,0.5406217643412723,1.2684163777213022
precision,0.007230610134436401,0.007722854188210962,2.8955532574974145e-05,0.010209487117746208,0.00805377456049638,0.006470028544243577,0.006470028544243577
recall,0.13405936038039726,0.14318582713398267,0.0005368509855050234,0.1625891556100928,0.1493212669683258,0.10430247718383312,0.10430247718383312
f1_score_value,0.013721157506799744,0.014655263767274097,5.494742708672666e-05,0.019212557037278703,0.015283234362550973,0.012184250959733738,0.012184250959733738
mrr,0.06156907503461314,0.19858274355054661,0.03921568627450981,0.13286157846208407,0.20396945943077274,0.1262148667780595,0.1262148667780595
ndcg,1.4233398736553657,1.4321267037750656,1.5849625007211559,1.3870119639011556,1.4327432396695217,1.472959680918351,1.472959680918351
map_value,0.13633086079683202,0.15995150435416655,0.06150793650793652,0.11321474421873393,0.1631120146352745,0.1090873085758375,0.1090873085758375
