,Content Based,Collaborative Filtering UserBased ,Collaborative Filtering ItemBased,Collaborative Filtering SVD (Surprise),Collaborative Filtering Manual (appended user_property for similarity),Trending Only,Hybrid : SVD + Content + Trending10)
rmse_value,0.8225189803925825,1.6400729570775787,1.692630950295369,0.3373858428366333,1.6378378539195146,0.26748021367717323,0.4081327403098577
mae_value,0.7477903375869003,1.5834018256549967,1.6369148105314597,0.2376127123544174,1.5811081936211795,0.17358034745403558,0.3675034783126061
precision,0.007052740434332989,0.007801447776628749,2.8955532574974145e-05,0.008626028059990324,0.0081282316442606,0.006422454804947669,0.006422454804947669
recall,0.13076156146943785,0.14464299409463915,0.0005368509855050234,0.1367436153079224,0.15070174093105299,0.10353554720454022,0.10353554720454022
f1_score_value,0.013383623311838424,0.014804406783652356,5.494742708672666e-05,0.016228343625847026,0.015424527746488271,0.01209466087914746,0.01209466087914746
mrr,0.06318041117545631,0.22335712481189235,0.04346566212691973,0.11784489957664143,0.22686145610086067,0.11983939728111598,0.11983939728111598
ndcg,1.4431632734554296,1.4268357676971468,1.5849625007211559,1.4071908177287664,1.426991800835448,1.471130815712284,1.471130815712284
map_value,0.11131310155548882,0.16993508303222515,0.1721611721611722,0.12327192360575555,0.17313643470374387,0.10484006925408039,0.10484006925408039
